date,currency,type,rate
2017-01-25,EUR,Black Market,187.0
2017-01-25,EUR,Official,117.5348
2017-01-26,EUR,Black Market,187.0
2017-01-26,EUR,Official,117.5712
2017-01-27,EUR,Black Market,187.0
2017-01-27,EUR,Official,117.2055
2017-01-28,EUR,Black Market,187.0
2017-01-29,EUR,Black Market,187.0
2017-01-30,EUR,Black Market,187.0
2017-01-30,EUR,Official,117.4176
2017-01-31,EUR,Black Market,187.0
2017-01-31,EUR,Official,117.3799
2017-02-01,EUR,Black Market,187.0
2017-02-01,EUR,Official,117.908
2017-02-02,EUR,Black Market,187.0
2017-02-02,EUR,Official,117.962
2017-02-03,EUR,Black Market,187.0
2017-02-03,EUR,Official,117.7391
2017-02-04,EUR,Black Market,187.0
2017-02-05,EUR,Black Market,187.0
2017-02-06,EUR,Black Market,187.0
2017-02-06,EUR,Official,117.7258
2017-02-07,EUR,Black Market,187.0
2017-02-07,EUR,Official,117.2309
2017-02-08,EUR,Black Market,187.0
2017-02-08,EUR,Official,117.0214
2017-02-09,EUR,Black Market,187.0
2017-02-09,EUR,Official,117.1741
2017-02-10,EUR,Black Market,187.0
2017-02-10,EUR,Official,117.0156
2017-02-11,EUR,Black Market,187.0
2017-02-12,EUR,Black Market,187.0
2017-02-13,EUR,Black Market,187.0
2017-02-13,EUR,Official,117.04
2017-02-14,EUR,Black Market,187.0
2017-02-14,EUR,Official,116.7516
2017-02-15,EUR,Black Market,187.0
2017-02-15,EUR,Official,116.4847
2017-02-16,EUR,Black Market,187.0
2017-02-16,EUR,Official,116.8939
2017-02-17,EUR,Black Market,187.0
2017-02-17,EUR,Official,117.0285
2017-02-18,EUR,Black Market,187.0
2017-02-19,EUR,Black Market,187.0
2017-02-20,EUR,Black Market,187.0
2017-02-20,EUR,Official,116.8151
2017-02-21,EUR,Black Market,187.0
